CHKP LOAD-in
FileName set to saasim.properties
ConfigurationUtils.locate(): base is null, name is saasim.properties
Could not locate file saasim.properties at null: no protocol: saasim.properties
Loading configuration from the path saasim.properties
Base path set to file:///Users/ricardo/Documents/git/SaaSim/saasim.properties
CHKP LOAD-out
REQUEST-RT 123365 200 200
REQUEST-RT 123566 204 203
REQUEST-RT 123767 202 200
REQUEST-RT 123969 200 200
REQUEST-RT 124169 200 200
REQUEST-RT 124371 212 207
REQUEST-RT 124572 210 200
REQUEST-RT 124773 207 200
REQUEST-RT 124975 204 200
REQUEST-RT 125176 202 200
REQUEST-RT 125378 200 200
REQUEST-RT 125579 204 203
REQUEST-RT 125780 203 200
REQUEST-RT 125980 202 200
REQUEST-RT 126183 204 203
REQUEST-RT 126384 203 200
REQUEST-RT 126584 202 200
REQUEST-RT 126786 200 200
REQUEST-RT 126987 203 203
REQUEST-RT 127189 201 200
REQUEST-RT 127391 205 203
REQUEST-RT 127591 204 200
REQUEST-RT 127792 202 200
REQUEST-RT 127994 200 200
REQUEST-RT 128194 200 200
REQUEST-RT 128396 212 207
REQUEST-RT 128597 210 200
REQUEST-RT 128798 207 200
REQUEST-RT 129000 205 200
REQUEST-RT 129200 204 200
REQUEST-RT 129401 202 200
REQUEST-RT 129604 205 203
REQUEST-RT 129804 204 200
REQUEST-RT 130005 202 200
REQUEST-RT 130207 200 200
REQUEST-RT 130407 200 200
REQUEST-RT 130609 212 207
REQUEST-RT 130810 209 200
REQUEST-RT 131012 207 200
REQUEST-RT 131212 205 200
REQUEST-RT 131414 202 200
REQUEST-RT 131615 201 200
REQUEST-RT 131816 200 200
REQUEST-RT 132018 212 207
REQUEST-RT 132219 210 200
REQUEST-RT 132420 207 200
REQUEST-RT 132622 205 200
REQUEST-RT 132822 203 200
REQUEST-RT 133024 201 200
REQUEST-RT 133226 205 203
REQUEST-RT 133426 203 200
REQUEST-RT 133628 201 200
REQUEST-RT 133828 201 200
REQUEST-RT 134030 204 203
REQUEST-RT 134231 202 200
REQUEST-RT 134432 201 200
REQUEST-RT 134634 204 203
REQUEST-RT 134835 203 200
REQUEST-RT 135035 202 200
REQUEST-RT 135237 200 200
REQUEST-RT 135438 204 203
REQUEST-RT 135639 202 200
REQUEST-RT 135842 204 203
REQUEST-RT 136043 204 200
REQUEST-RT 136242 203 200
REQUEST-RT 136445 200 200
REQUEST-RT 136646 203 203
REQUEST-RT 136848 201 200
REQUEST-RT 137049 200 200
REQUEST-RT 137250 205 203
REQUEST-RT 137450 204 200
REQUEST-RT 137651 202 200
REQUEST-RT 137853 200 200
REQUEST-RT 138054 204 203
REQUEST-RT 138255 202 200
REQUEST-RT 138457 200 200
REQUEST-RT 138659 213 207
REQUEST-RT 138859 212 200
REQUEST-RT 139060 208 200
REQUEST-RT 139263 204 200
REQUEST-RT 139464 202 200
REQUEST-RT 139666 200 200
REQUEST-RT 139868 212 207
REQUEST-RT 140069 211 200
REQUEST-RT 140269 209 200
REQUEST-RT 140471 207 200
REQUEST-RT 140671 205 200
REQUEST-RT 140873 202 200
REQUEST-RT 141075 200 200
REQUEST-RT 141275 200 200
REQUEST-RT 141477 212 207
REQUEST-RT 141678 210 200
REQUEST-RT 141879 208 200
REQUEST-RT 142080 206 200
REQUEST-RT 142281 203 200
REQUEST-RT 142483 201 200
REQUEST-RT 142684 200 200
REQUEST-RT 142885 203 203
REQUEST-RT 143087 201 200
REQUEST-RT 143288 200 200
REQUEST-RT 143489 203 203
REQUEST-RT 143691 201 200
REQUEST-RT 143891 201 200
REQUEST-RT 144093 204 203
REQUEST-RT 144294 202 200
REQUEST-RT 144496 200 200
REQUEST-RT 144696 200 200
REQUEST-RT 144898 212 207
REQUEST-RT 145099 210 200
REQUEST-RT 145300 208 200
REQUEST-RT 145501 205 200
REQUEST-RT 145703 203 200
REQUEST-RT 145903 202 200
REQUEST-RT 146106 205 203
REQUEST-RT 146306 204 200
REQUEST-RT 146507 202 200
REQUEST-RT 146709 200 200
REQUEST-RT 146909 200 200
REQUEST-RT 147111 211 207
REQUEST-RT 147313 209 200
REQUEST-RT 147513 208 200
REQUEST-RT 147714 205 200
REQUEST-RT 147916 202 200
REQUEST-RT 148117 201 200
REQUEST-RT 148318 200 200
REQUEST-RT 148520 212 207
REQUEST-RT 148721 209 200
REQUEST-RT 148923 205 200
REQUEST-RT 149125 202 200
REQUEST-RT 149326 201 200
REQUEST-RT 149527 200 200
REQUEST-RT 149728 204 203
REQUEST-RT 149929 202 200
REQUEST-RT 150130 201 200
REQUEST-RT 150332 203 203
REQUEST-RT 150534 201 200
REQUEST-RT 150734 201 200
REQUEST-RT 150936 203 203
REQUEST-RT 151138 201 200
REQUEST-RT 151339 200 200
REQUEST-RT 151540 203 203
REQUEST-RT 151742 201 200
REQUEST-RT 151943 200 200
REQUEST-RT 152145 212 207
REQUEST-RT 152346 210 200
REQUEST-RT 152547 207 200
REQUEST-RT 152749 203 200
REQUEST-RT 152951 201 200
REQUEST-RT 153151 201 200
REQUEST-RT 153352 200 200
REQUEST-RT 153839 638 200
REQUEST-RT 153956 793 200
REQUEST-RT 154157 950 200
REQUEST-RT 153834 1540 378
REQUEST-RT 154358 1040 200
REQUEST-RT 154560 1072 200
REQUEST-RT 154761 1088 200
REQUEST-RT 154962 1107 200
REQUEST-RT 155164 1097 200
REQUEST-RT 155364 1076 200
REQUEST-RT 155565 1081 200
REQUEST-RT 155767 1082 200
REQUEST-RT 155968 1083 200
REQUEST-RT 156169 1075 200
REQUEST-RT 156370 1070 200
REQUEST-RT 156572 1070 200
REQUEST-RT 156774 1068 200
REQUEST-RT 156974 1068 200
REQUEST-RT 157176 1064 200
REQUEST-RT 157377 1060 200
REQUEST-RT 157578 1058 200
REQUEST-RT 157779 1056 200
REQUEST-RT 157981 1052 200
REQUEST-RT 158182 1051 200
REQUEST-RT 158382 1048 200
REQUEST-RT 158585 1045 200
REQUEST-RT 158786 1043 200
REQUEST-RT 158987 1040 200
REQUEST-RT 159188 1039 200
REQUEST-RT 159390 1037 200
REQUEST-RT 159590 1032 200
REQUEST-RT 159792 1034 200
REQUEST-RT 159993 1027 200
REQUEST-RT 160194 1026 200
REQUEST-RT 160395 1025 200
REQUEST-RT 160596 1023 200
REQUEST-RT 160798 1019 200
REQUEST-RT 160999 1016 200
REQUEST-RT 161199 1014 200
REQUEST-RT 161401 1013 200
REQUEST-RT 161603 1009 200
REQUEST-RT 161804 1008 200
REQUEST-RT 162006 1006 200
REQUEST-RT 162205 1003 200
REQUEST-RT 162407 1002 200
REQUEST-RT 162608 999 200
REQUEST-RT 162810 997 200
REQUEST-RT 163011 994 200
REQUEST-RT 163212 992 200
REQUEST-RT 163413 989 200
REQUEST-RT 163615 987 200
REQUEST-RT 163816 983 200
REQUEST-RT 164017 980 200
REQUEST-RT 164220 976 200
REQUEST-RT 164421 974 200
REQUEST-RT 164622 973 200
REQUEST-RT 164824 968 200
REQUEST-RT 165024 965 200
REQUEST-RT 165227 965 200
